Note: Original output/ directory exists. Simulations will write there, then copy to result_1/
==========================================
Size Performance Simulations (Parallel)
1000 Monte Carlo replications at 5% level
Max parallel jobs: 4
Results: result_1/output/
==========================================

=== REG_LOGIS ===
[22:11:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=1000, p=10
[22:11:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=1000, p=50
[22:11:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=1000, p=200
[22:11:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=1000, p=500
[22:11:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=1000, p=1000
[22:11:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=2000, p=10
[22:11:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=2000, p=50
[22:11:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=2000, p=200
[22:11:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=2000, p=500
[22:11:58] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=2000, p=1000
[22:11:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=1000, p=10
[22:11:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=1000, p=50
[22:11:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=1000, p=200
[22:11:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=1000, p=500
[22:11:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=1000, p=1000
[22:11:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=2000, p=10
[22:11:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=2000, p=50
[22:11:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=2000, p=200
[22:11:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=2000, p=500
[22:11:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=2000, p=1000
[22:11:58] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=1000, p=10
[22:11:58] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=1000, p=50
[22:11:58] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=1000, p=200
[22:11:58] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=1000, p=500
[22:11:58] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=1000, p=1000
[22:11:58] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=2000, p=10
[22:11:58] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=2000, p=50
[22:11:58] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=2000, p=200
[22:11:58] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=2000, p=500
[22:11:58] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=2000, p=1000

=== RF ===
[22:11:58] ⊙ Skipped (already exists): standard_null | RF | n=1000, p=10
[22:11:59] ⊙ Skipped (already exists): standard_null | RF | n=1000, p=50
[22:11:59] ⊙ Skipped (already exists): standard_null | RF | n=1000, p=200
[22:11:59] ⊙ Skipped (already exists): standard_null | RF | n=1000, p=500
[22:11:59] ⊙ Skipped (already exists): standard_null | RF | n=1000, p=1000
[22:11:59] ⊙ Skipped (already exists): standard_null | RF | n=2000, p=10
[22:11:59] ⊙ Skipped (already exists): standard_null | RF | n=2000, p=50
[22:11:59] ⊙ Skipped (already exists): standard_null | RF | n=2000, p=200
[22:11:59] ⊙ Skipped (already exists): standard_null | RF | n=2000, p=500
[22:11:59] ⊙ Skipped (already exists): standard_null | RF | n=2000, p=1000
[22:11:59] ⊙ Skipped (already exists): banded_null | RF | n=1000, p=10
[22:11:59] ⊙ Skipped (already exists): banded_null | RF | n=1000, p=50
[22:11:59] ⊙ Skipped (already exists): banded_null | RF | n=1000, p=200
[22:11:59] ⊙ Skipped (already exists): banded_null | RF | n=1000, p=500
[22:11:59] ⊙ Skipped (already exists): banded_null | RF | n=1000, p=1000
[22:11:59] ⊙ Skipped (already exists): banded_null | RF | n=2000, p=10
[22:12:00] ⊙ Skipped (already exists): banded_null | RF | n=2000, p=50
[22:12:00] ⊙ Skipped (already exists): banded_null | RF | n=2000, p=200
[22:12:00] ⊙ Skipped (already exists): banded_null | RF | n=2000, p=500
[22:12:00] ⊙ Skipped (already exists): banded_null | RF | n=2000, p=1000
[22:12:00] ⊙ Skipped (already exists): exp_null | RF | n=1000, p=10
[22:12:00] ⊙ Skipped (already exists): exp_null | RF | n=1000, p=50
[22:12:00] ⊙ Skipped (already exists): exp_null | RF | n=1000, p=200
[22:12:00] ⊙ Skipped (already exists): exp_null | RF | n=1000, p=500
[22:12:00] ⊙ Skipped (already exists): exp_null | RF | n=1000, p=1000
[22:12:00] ⊙ Skipped (already exists): exp_null | RF | n=2000, p=10
[22:12:01] ⊙ Skipped (already exists): exp_null | RF | n=2000, p=50
[22:12:01] ⊙ Skipped (already exists): exp_null | RF | n=2000, p=200
[22:12:01] ⊙ Skipped (already exists): exp_null | RF | n=2000, p=500
[22:12:01] Starting: exp_null | RF | n=2000, p=1000

=== FNN ===
[22:12:32] ✗ Failed: exp_null | RF | n=2000, p=1000 (exit code: 143)
[22:12:33] Starting: standard_null | FNN | n=1000, p=10
