Note: Original output/ directory exists. Simulations will write there, then copy to result_1/
==========================================
Size Performance Simulations (Parallel)
1000 Monte Carlo replications at 5% level
Max parallel jobs: 4
Results: result_1/output/
==========================================

=== REG_LOGIS ===
[01:16:56] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=1000, p=10
[01:16:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=1000, p=50
[01:16:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=1000, p=200
[01:16:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=1000, p=500
[01:16:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=1000, p=1000
[01:16:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=2000, p=10
[01:16:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=2000, p=50
[01:16:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=2000, p=200
[01:16:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=2000, p=500
[01:16:57] ⊙ Skipped (already exists): standard_null | REG_LOGIS | n=2000, p=1000
[01:16:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=1000, p=10
[01:16:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=1000, p=50
[01:16:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=1000, p=200
[01:16:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=1000, p=500
[01:16:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=1000, p=1000
[01:16:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=2000, p=10
[01:16:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=2000, p=50
[01:16:58] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=2000, p=200
[01:16:59] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=2000, p=500
[01:16:59] ⊙ Skipped (already exists): banded_null | REG_LOGIS | n=2000, p=1000
[01:16:59] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=1000, p=10
[01:16:59] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=1000, p=50
[01:16:59] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=1000, p=200
[01:17:00] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=1000, p=500
[01:17:01] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=1000, p=1000
[01:17:01] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=2000, p=10
[01:17:01] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=2000, p=50
[01:17:02] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=2000, p=200
[01:17:03] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=2000, p=500
[01:17:03] ⊙ Skipped (already exists): exp_null | REG_LOGIS | n=2000, p=1000

=== RF ===
[01:17:03] ⊙ Skipped (already exists): standard_null | RF | n=1000, p=10
[01:17:03] ⊙ Skipped (already exists): standard_null | RF | n=1000, p=50
[01:17:03] ⊙ Skipped (already exists): standard_null | RF | n=1000, p=200
[01:17:03] ⊙ Skipped (already exists): standard_null | RF | n=1000, p=500
[01:17:03] ⊙ Skipped (already exists): standard_null | RF | n=1000, p=1000
[01:17:04] ⊙ Skipped (already exists): standard_null | RF | n=2000, p=10
[01:17:04] ⊙ Skipped (already exists): standard_null | RF | n=2000, p=50
[01:17:04] ⊙ Skipped (already exists): standard_null | RF | n=2000, p=200
[01:17:04] ⊙ Skipped (already exists): standard_null | RF | n=2000, p=500
[01:17:04] ⊙ Skipped (already exists): standard_null | RF | n=2000, p=1000
[01:17:05] ⊙ Skipped (already exists): banded_null | RF | n=1000, p=10
[01:17:05] ⊙ Skipped (already exists): banded_null | RF | n=1000, p=50
[01:17:05] ⊙ Skipped (already exists): banded_null | RF | n=1000, p=200
[01:17:06] ⊙ Skipped (already exists): banded_null | RF | n=1000, p=500
[01:17:06] ⊙ Skipped (already exists): banded_null | RF | n=1000, p=1000
[01:17:06] ⊙ Skipped (already exists): banded_null | RF | n=2000, p=10
[01:17:07] ⊙ Skipped (already exists): banded_null | RF | n=2000, p=50
[01:17:07] ⊙ Skipped (already exists): banded_null | RF | n=2000, p=200
[01:17:08] ⊙ Skipped (already exists): banded_null | RF | n=2000, p=500
[01:17:08] ⊙ Skipped (already exists): banded_null | RF | n=2000, p=1000
[01:17:08] ⊙ Skipped (already exists): exp_null | RF | n=1000, p=10
[01:17:09] ⊙ Skipped (already exists): exp_null | RF | n=1000, p=50
[01:17:09] ⊙ Skipped (already exists): exp_null | RF | n=1000, p=200
[01:17:09] ⊙ Skipped (already exists): exp_null | RF | n=1000, p=500
[01:17:09] ⊙ Skipped (already exists): exp_null | RF | n=1000, p=1000
[01:17:10] ⊙ Skipped (already exists): exp_null | RF | n=2000, p=10
[01:17:10] ⊙ Skipped (already exists): exp_null | RF | n=2000, p=50
[01:17:10] ⊙ Skipped (already exists): exp_null | RF | n=2000, p=200
[01:17:10] ⊙ Skipped (already exists): exp_null | RF | n=2000, p=500
[01:17:10] Starting: exp_null | RF | n=2000, p=1000

=== FNN ===
